id_student,name,gender,region,highest_education,imd_band,age_band,disability
474607,Steven Mccown,F,South West Region,Lower Than A Level,20-30%,0-35,N
475631,Linda Varner,F,East Midlands Region,A Level or Equivalent,90-100%,35-55,N
475981,Gene Fabian,F,South Region,Lower Than A Level,30-40%,0-35,N
477779,Suzanne Baker,F,London Region,A Level or Equivalent,10-20,0-35,N
478242,Eloise Mowers,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,N
479738,Diane Eisenman,F,West Midlands Region,Lower Than A Level,40-50%,35-55,N
480372,Alyssa Reaves,F,North Western Region,Lower Than A Level,10-20,0-35,N
480924,Grace Leary,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N
481150,Michelle Chavez,F,Ireland,A Level or Equivalent,10-20,0-35,N
481947,Sally Arnold,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N
483031,Katina Marion,F,North Western Region,A Level or Equivalent,20-30%,0-35,N
483468,Alexandra Ross,F,Wales,HE Qualification,90-100%,0-35,N
483485,Catherine Moore,F,Wales,Lower Than A Level,70-80%,0-35,Y
483921,Linda Suarez,F,East Anglian Region,Lower Than A Level,60-70%,35-55,N
484351,Sarah Mcnab,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
484821,Alyce Fontaine,F,South East Region,A Level or Equivalent,40-50%,35-55,N
484983,Dorthy Lemay,F,South West Region,Lower Than A Level,40-50%,0-35,N
485180,Mellissa Campbell,F,South West Region,Lower Than A Level,40-50%,0-35,N
485262,Shirley Hylan,F,North Region,Lower Than A Level,30-40%,35-55,N
485675,Sarah Martin,F,North Western Region,A Level or Equivalent,10-20,0-35,N
485980,Nathan Williams,M,East Midlands Region,Lower Than A Level,0-10%,35-55,N
486994,Johnnie Gorman,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N
487002,Theresa Garelik,F,South East Region,A Level or Equivalent,20-30%,0-35,N
487226,Pearline Benton,F,West Midlands Region,A Level or Equivalent,80-90%,0-35,N
487386,Donna Mccaskill,F,Scotland,Lower Than A Level,0-10%,35-55,N
487543,Michael Smith,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N
487573,Sylvia Fleming,F,North Western Region,A Level or Equivalent,10-20,0-35,N
489198,Betty Horio,F,South Region,Lower Than A Level,70-80%,35-55,N
490391,Cassie Smith,F,Scotland,Lower Than A Level,80-90%,0-35,N
491114,Maria Frazier,F,South Region,A Level or Equivalent,60-70%,0-35,N
492468,Stacy Phillips,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,Y
492895,Melissa Holst,F,North Western Region,A Level or Equivalent,60-70%,35-55,N
492928,Ellen Wheaton,F,Scotland,A Level or Equivalent,0-10%,0-35,N
493559,Carolyn Mederos,F,Scotland,A Level or Equivalent,20-30%,0-35,N
494948,Mary Scott,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,N
495876,Sylvia Glidewell,F,South East Region,Lower Than A Level,90-100%,0-35,N
495958,Sherry Gayle,F,South West Region,A Level or Equivalent,20-30%,0-35,N
496547,Debra Walker,F,Scotland,A Level or Equivalent,50-60%,0-35,N
497872,Jeri Lalk,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N
499952,Tina Calogero,F,Scotland,A Level or Equivalent,70-80%,0-35,N
500395,Lettie Birkeland,F,East Midlands Region,Lower Than A Level,10-20,35-55,N
501095,Sonia Guin,F,South West Region,Lower Than A Level,70-80%,35-55,N
504352,Beckie Johnson,F,London Region,Lower Than A Level,30-40%,0-35,N
504393,Carmen Wilson,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,N
504967,Dorthy Goss,F,East Midlands Region,Lower Than A Level,80-90%,0-35,N
505151,Christina Gaines,F,Scotland,A Level or Equivalent,0-10%,35-55,N
505248,Nina Seymour,F,South Region,A Level or Equivalent,50-60%,0-35,N
505899,Grace Leonard,F,Wales,A Level or Equivalent,40-50%,0-35,Y
506622,Jeanette Xiong,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N
507009,Jean Southard,F,London Region,Lower Than A Level,20-30%,35-55,N
507983,Sarah Lawrence,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,N
508100,Donald Minner,M,South Region,Lower Than A Level,70-80%,0-35,N
508400,Shirley Castillo,F,North Region,HE Qualification,0-10%,0-35,N
508470,Michael Brown,M,North Western Region,Lower Than A Level,10-20,0-35,Y
508940,Leilani Johnson,F,London Region,Lower Than A Level,10-20,0-35,N
509696,Nelda Harris,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,N
511238,Bennie Vanburen,M,East Anglian Region,HE Qualification,50-60%,35-55,N
511469,Jan Hickey,F,East Midlands Region,Lower Than A Level,80-90%,0-35,N
511506,Valorie Romero,F,South East Region,A Level or Equivalent,40-50%,0-35,Y
511901,Wanda Williams,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N
512118,Angelia Creek,F,South East Region,Lower Than A Level,40-50%,0-35,N
513077,Elizabeth Oliver,F,Wales,Lower Than A Level,20-30%,35-55,Y
514031,Brandon Sierra,M,Ireland,Lower Than A Level,0-10%,0-35,Y
515648,Sonia Sanchez,F,South East Region,Lower Than A Level,50-60%,0-35,Y
516601,Evelyn Geiger,F,South East Region,Lower Than A Level,70-80%,0-35,N
517679,Cynthia Rollyson,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N
518711,Nellie Legendre,F,North Western Region,A Level or Equivalent,10-20,0-35,N
519078,Joel Lewis,M,East Anglian Region,Lower Than A Level,70-80%,0-35,N
519084,Valerie Varney,F,Wales,Lower Than A Level,50-60%,0-35,N
519859,Helen Floyd,F,South East Region,A Level or Equivalent,70-80%,0-35,N
521671,Etta Nelson,F,South Region,A Level or Equivalent,70-80%,0-35,N
522087,Maria Bruce,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,N
523021,Barbara Woytowich,F,West Midlands Region,Lower Than A Level,0-10%,35-55,N
523247,Shirley Matthews,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N
524290,Shirley Flores,F,South Region,Lower Than A Level,80-90%,0-35,N
525027,Tami Milton,F,South East Region,A Level or Equivalent,30-40%,35-55,N
526285,Jacque Fleming,F,Scotland,A Level or Equivalent,30-40%,0-35,N
526948,Bernadette Guzman,F,London Region,Lower Than A Level,20-30%,35-55,N
529438,Javier Hamrick,M,Wales,A Level or Equivalent,50-60%,0-35,N
529439,Mary Rivera,F,East Anglian Region,Lower Than A Level,10-20,0-35,N
529705,Kathleen Lovell,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
531290,Chantal Pickhardt,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N
531755,Kathryn Washington,F,Scotland,HE Qualification,80-90%,0-35,N
532274,Martha Goldbeck,F,West Midlands Region,A Level or Equivalent,20-30%,35-55,N
532468,Hattie Williams,F,North Region,Lower Than A Level,20-30%,0-35,N
532617,Hazel Williams,F,East Midlands Region,A Level or Equivalent,10-20,0-35,N
533077,Laurie Deal,F,North Region,Lower Than A Level,20-30%,0-35,N
533210,Teresa Heflin,F,South East Region,A Level or Equivalent,50-60%,35-55,N
533527,Kaylee Pickett,F,East Anglian Region,Lower Than A Level,0-10%,0-35,N
534143,Tyra Drayton,F,West Midlands Region,Lower Than A Level,70-80%,0-35,N
534163,Wilma Wycoff,F,South West Region,Lower Than A Level,70-80%,35-55,N
534428,Inez Cancelliere,F,North Region,Lower Than A Level,20-30%,0-35,N
535077,Charlotte Debo,F,Yorkshire Region,HE Qualification,20-30%,0-35,N
535462,Ruth Kittleson,F,South West Region,A Level or Equivalent,40-50%,0-35,N
535506,Raul Brown,M,Wales,A Level or Equivalent,40-50%,0-35,N
535548,Mary Hill,F,East Midlands Region,Lower Than A Level,20-30%,0-35,N
536286,Terry Koepp,F,South West Region,Lower Than A Level,0-10%,35-55,N
536629,Gayle Kinneman,F,South Region,A Level or Equivalent,70-80%,0-35,N
536805,Marta Fields,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,N
537077,Dana Beale,F,West Midlands Region,A Level or Equivalent,80-90%,0-35,N
537171,Joan Beck,F,North Region,No Formal quals,,0-35,N
537373,Barbara Haines,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,N
537605,Jack Lebel,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,N
537698,Lorraine Chi,F,East Anglian Region,Lower Than A Level,40-50%,0-35,Y
539675,Evelyn Froedge,F,South East Region,Lower Than A Level,30-40%,0-35,N
539894,Annie Tucker,F,Yorkshire Region,HE Qualification,80-90%,0-35,N
540558,Dolores Hayden,F,East Midlands Region,Lower Than A Level,20-30%,35-55,N
541769,Elizabeth Kim,F,East Anglian Region,Lower Than A Level,30-40%,35-55,N
542456,Ivonne Hoffman,F,London Region,A Level or Equivalent,40-50%,0-35,N
542466,Sylvia Forsmark,F,Scotland,A Level or Equivalent,20-30%,0-35,N
542547,Elizabeth Smith,F,Wales,A Level or Equivalent,10-20,0-35,N
543963,Michael Lyons,M,South East Region,Lower Than A Level,50-60%,0-35,Y
544050,Dorcas Lentz,F,Wales,A Level or Equivalent,20-30%,0-35,N
544430,Richard Varden,M,South East Region,A Level or Equivalent,0-10%,35-55,N
545146,Nancy Goslee,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N
545160,Rosemary Whitson,F,Scotland,Lower Than A Level,50-60%,0-35,N
545196,Martha Deane,F,South West Region,Lower Than A Level,0-10%,35-55,N
545254,Sergio Hardy,M,Ireland,Lower Than A Level,90-100%,0-35,N
546302,Norma White,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,N
547018,Marjorie Sheehan,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,N
547268,Paulette Pilling,F,East Anglian Region,Lower Than A Level,80-90%,0-35,Y
547487,Eleanor Conrad,F,South Region,Lower Than A Level,80-90%,0-35,N
547556,Rebecca Armstrong,F,South Region,Lower Than A Level,80-90%,0-35,N
548296,Margaret Childs,F,South Region,A Level or Equivalent,10-20,0-35,N
548445,Nan Davis,F,East Midlands Region,Lower Than A Level,20-30%,0-35,N
548578,Donna Marsh,F,South West Region,No Formal quals,30-40%,0-35,N
548844,Wendi Burleson,F,London Region,Lower Than A Level,70-80%,35-55,N
549087,Patty Benson,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,N
549190,Helen Ainley,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N
549892,Janet Herman,F,East Midlands Region,Lower Than A Level,30-40%,35-55,N
550269,Jody Booth,F,Scotland,Lower Than A Level,10-20,0-35,N
551252,Brenda Stringer,F,South West Region,A Level or Equivalent,70-80%,0-35,N
551718,Lee Orr,F,South East Region,A Level or Equivalent,60-70%,0-35,N
551953,Ruby Goldberg,F,South West Region,HE Qualification,60-70%,35-55,N
552656,Elizabeth Davis,F,Ireland,A Level or Equivalent,40-50%,35-55,N
552896,Marie Craig,F,Scotland,HE Qualification,30-40%,0-35,N
552931,Mary Boone,F,Ireland,Lower Than A Level,10-20,0-35,Y
553000,Audrey Lambrecht,F,East Midlands Region,Lower Than A Level,10-20,0-35,N
553437,Aurelia Mercer,F,Wales,A Level or Equivalent,50-60%,0-35,N
553733,Jessica Manley,F,London Region,A Level or Equivalent,0-10%,0-35,N
553808,Brandon Ehrgott,M,South East Region,A Level or Equivalent,60-70%,0-35,N
554004,Robert Rickard,M,East Midlands Region,HE Qualification,20-30%,35-55,N
554766,Antonia Connor,F,Ireland,Lower Than A Level,30-40%,35-55,N
554969,Annette Stribling,F,North Western Region,A Level or Equivalent,50-60%,0-35,N
555015,Phyllis Cornelius,F,Scotland,A Level or Equivalent,40-50%,0-35,Y
555603,Joy Ruhlin,F,Wales,A Level or Equivalent,60-70%,0-35,N
555720,Rhonda Lewis,F,North Western Region,Lower Than A Level,20-30%,0-35,N
555860,Thomas Bruno,M,West Midlands Region,Lower Than A Level,0-10%,0-35,N
555994,Jeffrey Cantrell,M,London Region,Lower Than A Level,40-50%,0-35,N
556012,Timothy Holmes,M,East Anglian Region,Lower Than A Level,20-30%,0-35,Y
556853,Inez Arnold,F,South Region,A Level or Equivalent,50-60%,0-35,N
557029,Mark Wise,M,East Midlands Region,HE Qualification,10-20,35-55,N
558084,Lillian Woodward,F,Wales,Lower Than A Level,20-30%,0-35,N
558595,Louise Ford,F,South Region,A Level or Equivalent,90-100%,0-35,Y
558702,Lorraine Spencer,F,South West Region,A Level or Equivalent,30-40%,35-55,N
558921,Shelton Townsend,M,West Midlands Region,HE Qualification,50-60%,0-35,N
559065,Concepcion Adamson,F,London Region,A Level or Equivalent,10-20,0-35,N
559090,Hazel Pavlick,F,South East Region,No Formal quals,60-70%,0-35,N
559336,Debra Truitt,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,N
559381,Barbara Sawyer,F,South Region,HE Qualification,90-100%,35-55,N
559467,Darlene Bean,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,N
559573,Bernadette Bey,F,North Western Region,A Level or Equivalent,0-10%,0-35,N
559831,Andrea Laditka,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N
559861,Deena Benedict,F,South East Region,A Level or Equivalent,90-100%,0-35,N
560238,Cheryl Weed,F,Yorkshire Region,Lower Than A Level,80-90%,0-35,N
560536,Barbara Fernandez,F,Wales,HE Qualification,50-60%,0-35,N
560636,Ashley Downs,F,East Midlands Region,HE Qualification,40-50%,35-55,N
561060,Sherry Wison,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,Y
561061,Danielle Jackson,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,N
561953,Carolyn Broad,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N
561978,Barbara Ortega,F,South West Region,A Level or Equivalent,80-90%,0-35,N
562139,Barbara Neff,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
562267,Eric Shellum,M,North Western Region,Lower Than A Level,10-20,35-55,N
562438,Josephine Loos,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N
562642,Daniel Coakley,M,South West Region,Lower Than A Level,90-100%,35-55,N
562643,Tanya Kelly,F,South West Region,A Level or Equivalent,50-60%,0-35,N
562783,Marsha Bedell,F,East Midlands Region,Lower Than A Level,40-50%,0-35,N
562857,Paula Lukasiewicz,F,London Region,Lower Than A Level,20-30%,35-55,N
563413,Beatrice Brooks,F,South Region,A Level or Equivalent,90-100%,0-35,N
563487,Amber Palmo,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,N
563754,Krystle Wissmann,F,South West Region,Lower Than A Level,30-40%,0-35,N
563822,Denita Russell,F,East Anglian Region,Lower Than A Level,40-50%,0-35,N
563945,John Do,M,Scotland,Lower Than A Level,70-80%,35-55,N
563986,Mary Earheart,F,North Western Region,Lower Than A Level,10-20,0-35,N
563987,Ada Ramos,F,North Western Region,A Level or Equivalent,20-30%,35-55,N
564409,Graham Baker,M,Scotland,A Level or Equivalent,30-40%,0-35,N
564460,Gail Blackshire,F,Yorkshire Region,No Formal quals,0-10%,0-35,N
564810,Virginia Franklin,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,N
564906,Ralph Loesch,M,North Western Region,Lower Than A Level,0-10%,35-55,N
565008,Lakiesha Jenkins,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N
565009,Lorraine Laing,F,East Anglian Region,Lower Than A Level,40-50%,0-35,N
565344,Katherine Henderson,F,London Region,A Level or Equivalent,70-80%,35-55,N
565869,Denise Cockrell,F,East Anglian Region,Lower Than A Level,50-60%,35-55,N
565988,Nancy Anderson,F,North Region,Lower Than A Level,10-20,0-35,N
566181,Caitlin Kay,F,South West Region,A Level or Equivalent,50-60%,0-35,N
566669,Annie Parker,F,South East Region,A Level or Equivalent,30-40%,0-35,N
567048,Christy Chiang,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,N
567273,Anna Williams,F,North Western Region,A Level or Equivalent,40-50%,0-35,Y
567757,Rachel Porter,F,Wales,A Level or Equivalent,10-20,0-35,N
567889,Beverly Kim,F,South West Region,Lower Than A Level,40-50%,35-55,N
567963,Christina Mazza,F,London Region,Lower Than A Level,30-40%,35-55,Y
568042,Sheena Hipps,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N
568559,Christie Shelby,F,East Midlands Region,Lower Than A Level,90-100%,35-55,N
568968,Sarah Simms,F,South Region,Lower Than A Level,80-90%,0-35,N
569074,Jill Sheahan,F,South West Region,Lower Than A Level,30-40%,35-55,N
569199,Maria Sims,F,West Midlands Region,Lower Than A Level,20-30%,0-35,N
569225,Jamie Taylor,F,South Region,A Level or Equivalent,40-50%,0-35,N
569660,Mark Jessen,M,London Region,Lower Than A Level,10-20,35-55,N
569663,Bernadette Nelson,F,South Region,Lower Than A Level,80-90%,0-35,N
569664,Mary Reynosa,M,London Region,Lower Than A Level,40-50%,35-55,N
569761,Margo Fernandez,F,East Midlands Region,Lower Than A Level,0-10%,0-35,N
569864,Karen Trover,F,London Region,Lower Than A Level,10-20,0-35,N
569970,Christina Kearse,F,East Midlands Region,Lower Than A Level,40-50%,0-35,N
570031,Thelma Smith,F,North Western Region,Lower Than A Level,20-30%,0-35,N
570133,Susan Benson,F,Scotland,HE Qualification,40-50%,35-55,N
570186,Laura Geffrard,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
570239,Iluminada Glaspie,F,West Midlands Region,Lower Than A Level,10-20,35-55,N
570437,Lisa Perez,F,Scotland,A Level or Equivalent,0-10%,35-55,Y
570627,Missy Baxter,F,South East Region,A Level or Equivalent,90-100%,35-55,N
570721,Lena Zachery,F,East Midlands Region,HE Qualification,10-20,0-35,N
571223,Amy Cruz,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N
571614,Tina Baker,F,Ireland,Lower Than A Level,10-20,0-35,N
571732,Donna Holifield,F,South East Region,Lower Than A Level,70-80%,35-55,N
571880,Janice Villeda,F,Scotland,Lower Than A Level,30-40%,0-35,N
571897,Cynthia Hardman,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,Y
571954,John Nance,M,London Region,HE Qualification,10-20,0-35,N
572187,Betty Jackson,F,Scotland,HE Qualification,80-90%,0-35,N
572290,Ricky Salazar,M,South East Region,HE Qualification,20-30%,0-35,N
572370,Beverly Valle,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,N
572378,Margaret Gordy,F,London Region,Lower Than A Level,10-20,0-35,Y
572987,Emilio Cheek,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,Y
573000,Isabel Perez,F,London Region,HE Qualification,20-30%,35-55,N
573108,Beverly Erickson,F,South Region,A Level or Equivalent,80-90%,0-35,N
573323,Patricia Pettus,F,South West Region,A Level or Equivalent,70-80%,0-35,N
573488,Dorothy Moss,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N
573496,Rita Engstrom,F,South Region,A Level or Equivalent,20-30%,0-35,N
573806,Ana Cordero,F,South East Region,A Level or Equivalent,20-30%,35-55,N
573824,Michelle Ledbetter,F,South East Region,Lower Than A Level,20-30%,35-55,N
573851,Kelley Kelley,F,East Midlands Region,Lower Than A Level,20-30%,0-35,N
573853,Barbara Love,F,Ireland,A Level or Equivalent,,35-55,N
574057,Frances Rodriguez,F,London Region,Lower Than A Level,0-10%,35-55,N
574264,Anna Turney,F,East Midlands Region,Lower Than A Level,40-50%,0-35,N
574553,Juli Malcom,F,London Region,Lower Than A Level,20-30%,0-35,N
574569,Lavonne Sheston,F,London Region,A Level or Equivalent,30-40%,0-35,N
574748,Laura Salizar,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
574935,Phyllis Vala,F,East Anglian Region,Lower Than A Level,40-50%,35-55,N
574944,Evelyn Jackson,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,N
575251,Taylor Oneill,F,Scotland,A Level or Equivalent,0-10%,35-55,Y
575602,Diana Saylor,F,London Region,A Level or Equivalent,70-80%,0-35,N
575680,Courtney Coletti,F,South East Region,Lower Than A Level,80-90%,0-35,N
575980,Patricia Leboeuf,F,London Region,Lower Than A Level,30-40%,0-35,N
575990,Sharon Heintz,F,South West Region,Lower Than A Level,10-20,0-35,N
576179,Eleanor Bradley,F,North Western Region,No Formal quals,0-10%,0-35,N
576738,Valerie Emling,F,South Region,Lower Than A Level,60-70%,0-35,N
577170,Josephine Adams,F,West Midlands Region,HE Qualification,10-20,0-35,N
577304,Barbara Karst,F,North Western Region,Lower Than A Level,20-30%,35-55,N
577527,Ola Johnson,F,South East Region,Lower Than A Level,60-70%,35-55,N
577676,Tina Urbina,F,South Region,HE Qualification,90-100%,0-35,N
578003,Sharon Clothier,F,South West Region,HE Qualification,30-40%,0-35,N
578282,Patricia Macdonald,F,North Region,Lower Than A Level,30-40%,0-35,N
578574,Lieselotte Lee,F,East Midlands Region,Lower Than A Level,20-30%,0-35,N
579537,Rosa Waldron,F,Ireland,A Level or Equivalent,,35-55,N
579720,Marlene Davis,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N
580688,Tara Morales,F,South Region,A Level or Equivalent,60-70%,0-35,N
581222,Jose Tesch,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N
581333,Jane Hurley,F,South West Region,A Level or Equivalent,70-80%,0-35,N
581353,Yvonne Carter,F,South West Region,Lower Than A Level,90-100%,0-35,N
581459,Olevia Colindres,F,South West Region,Lower Than A Level,70-80%,0-35,N
581647,Pat Mireles,F,East Midlands Region,Lower Than A Level,20-30%,0-35,Y
582496,Bonnie Dever,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
582742,Carol Felts,F,West Midlands Region,Lower Than A Level,20-30%,0-35,N
583102,Argentina Nakasone,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,N
583950,Terri Brooks,F,North Western Region,Lower Than A Level,0-10%,0-35,N
584566,Luz Hadley,F,London Region,No Formal quals,10-20,0-35,N
584632,Ariel Watkins,F,West Midlands Region,Lower Than A Level,0-10%,35-55,N
585048,James Doucet,M,North Western Region,HE Qualification,0-10%,0-35,N
585150,Marie Noe,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N
585283,Patricia Hall,F,South Region,A Level or Equivalent,0-10%,0-35,N
585547,Margaret Jones,F,London Region,A Level or Equivalent,50-60%,0-35,N
585727,Tammy Warner,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,N
586086,Margaret Rincon,F,Wales,Lower Than A Level,80-90%,35-55,N
586111,Elizabeth Makela,F,South Region,Lower Than A Level,40-50%,0-35,Y
586133,Sandra Hudson,F,London Region,A Level or Equivalent,30-40%,0-35,N
586417,Mattie Miller,F,North Western Region,A Level or Equivalent,20-30%,35-55,N
586435,Cristy Kitzmiller,F,London Region,Lower Than A Level,0-10%,0-35,N
586712,Lori Nash,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,N
586995,Mathilda Robertson,F,South Region,Lower Than A Level,50-60%,0-35,N
587181,Valerie Martin,F,South Region,A Level or Equivalent,80-90%,35-55,N
587524,Margaret Sullivan,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,N
587538,Sarah Toto,F,South East Region,Lower Than A Level,80-90%,35-55,N
587780,Bonnie Ellis,F,North Western Region,A Level or Equivalent,50-60%,0-35,N
588039,Annie Mcclure,F,South East Region,A Level or Equivalent,50-60%,35-55,N
588096,Diana Crouch,F,West Midlands Region,Lower Than A Level,80-90%,0-35,N
588302,Tracey Darden,F,Scotland,A Level or Equivalent,90-100%,0-35,N
588459,Felicia Cruz,F,Wales,Lower Than A Level,40-50%,0-35,N
588484,Olga Packard,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,N
588495,Blanche Franks,F,South West Region,Lower Than A Level,30-40%,35-55,N
588592,Jennifer Paul,F,Wales,Lower Than A Level,20-30%,0-35,Y
589300,Beulah Kelly,F,North Western Region,Lower Than A Level,60-70%,0-35,N
589333,Dedra Finch,F,South Region,A Level or Equivalent,40-50%,0-35,N
589444,Porsche Schwartz,F,South West Region,A Level or Equivalent,40-50%,0-35,N
589862,Corrine Perkins,F,North Western Region,Lower Than A Level,40-50%,0-35,N
589997,Jill Bouffard,F,South West Region,A Level or Equivalent,80-90%,35-55,N
590408,Peggy Borja,F,London Region,Lower Than A Level,0-10%,0-35,Y
590520,Paulette Howell,F,South West Region,No Formal quals,30-40%,0-35,N
590798,Dennis Rhoades,M,South Region,HE Qualification,30-40%,0-35,N
590870,Tiesha Benson,F,South East Region,A Level or Equivalent,30-40%,0-35,N
591094,Michelle Hockenberry,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N
591309,Nancy Canizales,F,North Western Region,Lower Than A Level,0-10%,0-35,N
591547,Ginny Mitchell,F,North Region,A Level or Equivalent,10-20,0-35,N
591725,Ruth Stevens,F,Wales,Lower Than A Level,40-50%,0-35,N
591743,Marilyn Perez,F,North Region,Lower Than A Level,30-40%,35-55,N
592193,Dana Milburn,F,South East Region,A Level or Equivalent,80-90%,35-55,N
592602,Ann Jaye,F,South Region,Lower Than A Level,80-90%,0-35,N
592725,Harry Mason,M,West Midlands Region,A Level or Equivalent,,0-35,N
593345,Beverly Ruel,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,N
593465,Mary Comstock,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,N
594061,Crystal Patterson,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N
594417,Amelia Jackson,F,Yorkshire Region,HE Qualification,60-70%,0-35,N
596171,Charles Williams,M,North Region,HE Qualification,80-90%,0-35,N
596533,Virginia Whitmire,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N
596602,Helene Bybee,F,Scotland,A Level or Equivalent,70-80%,0-35,N
597316,Annabelle Lewis,F,North Western Region,Lower Than A Level,40-50%,0-35,Y
597610,Angelica Cornish,F,Wales,Lower Than A Level,20-30%,35-55,N
597730,Gemma Goins,F,East Midlands Region,A Level or Equivalent,10-20,0-35,N
597744,June Pham,F,North Region,Lower Than A Level,0-10%,0-35,N
597882,Mary Cross,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,N
598150,Latanya Post,F,West Midlands Region,A Level or Equivalent,10-20,0-35,N
598250,Emily Zamarripa,F,East Midlands Region,Lower Than A Level,40-50%,0-35,N
598313,Thomas Polzin,M,London Region,A Level or Equivalent,40-50%,35-55,N
598415,Donna Bourbon,F,South Region,Lower Than A Level,30-40%,0-35,N
598451,Russell Church,M,East Anglian Region,Lower Than A Level,80-90%,35-55,N
598495,Helen Dalbec,F,Scotland,HE Qualification,0-10%,0-35,N
598614,Louisa Cooks,F,Scotland,A Level or Equivalent,10-20,0-35,N
598624,Karl Chambers,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,N
598694,Johanna Jones,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,N
598836,Caroline Troendle,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,N
598918,James Patterson,M,Ireland,A Level or Equivalent,40-50%,0-35,N
599132,Debora Wilkerson,F,North Western Region,HE Qualification,60-70%,35-55,N
599202,Patricia Null,F,Scotland,A Level or Equivalent,70-80%,0-35,N
599207,Patricia Dickinson,F,Wales,Lower Than A Level,20-30%,35-55,Y
599382,Susan Richards,F,South West Region,HE Qualification,70-80%,35-55,N
599430,Jessica Farnell,F,Scotland,HE Qualification,20-30%,0-35,N
599480,Barbara Cordero,F,London Region,Lower Than A Level,30-40%,0-35,N
599495,Nancy Santiago,F,South West Region,A Level or Equivalent,50-60%,35-55,N
599769,Loretta Stephens,F,South Region,Lower Than A Level,60-70%,0-35,Y
599990,Marie Avella,F,East Midlands Region,A Level or Equivalent,80-90%,35-55,N
600259,Sara Miller,F,South East Region,Lower Than A Level,10-20,0-35,N
601010,Daniel Wadusky,M,Wales,HE Qualification,80-90%,0-35,N
601238,Shelley Pena,F,East Midlands Region,Lower Than A Level,30-40%,35-55,N
601316,Julie Smith,F,South West Region,Lower Than A Level,40-50%,35-55,N
